"Transaction","Item","period_day","weekday_weekend","Price","TotalNumber","Gender","Payment","Nationality","Time","Date","Age"
2899,"Farm House","morning","weekend",40.82,1,"Male","Cash","American","09:40","12/10/2016",19
2900,"Focaccia","morning","weekend",35.36,2,"female","Cash","American","09:54","12/10/2016",24
2900,"Pastry","morning","weekend",14.94,3,"female","Cash","American","09:54","12/10/2016",24
2901,"Coffee","morning","weekend",19.73,3,"Male","Online Wallet","Korean","10:01","12/10/2016",22
2901,"Pastry","morning","weekend",14.94,3,"Male","Online Wallet","Korean","10:01","12/10/2016",22
2901,"Medialuna","morning","weekend",43.23,1,"Male","Online Wallet","Korean","10:01","12/10/2016",22
2902,"Sandwich","morning","weekend",10.13,3,"Male","Credit card","Vietnamese","10:09","12/10/2016",30
2902,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:09","12/10/2016",30
2903,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:12","12/10/2016",25
2903,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","10:12","12/10/2016",25
2903,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","10:12","12/10/2016",25
2903,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","10:12","12/10/2016",25
2903,"Jam","morning","weekend",45.27,1,"Male","Credit card","Vietnamese","10:12","12/10/2016",25
2904,"Sandwich","morning","weekend",10.13,3,"Male","Credit card","Vietnamese","10:14","12/10/2016",27
2904,"Tea","morning","weekend",26.05,2,"Male","Credit card","Vietnamese","10:14","12/10/2016",27
2904,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","10:14","12/10/2016",27
2905,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","10:17","12/10/2016",26
2905,"Farm House","morning","weekend",40.82,1,"Male","Credit card","Vietnamese","10:17","12/10/2016",26
2906,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:19","12/10/2016",22
2907,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:31","12/10/2016",18
2907,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","10:31","12/10/2016",18
2908,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","10:37","12/10/2016",27
2908,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","10:37","12/10/2016",27
2908,"Toast","morning","weekend",31.53,2,"Male","Credit card","Vietnamese","10:37","12/10/2016",27
2908,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","10:37","12/10/2016",27
2909,"Farm House","morning","weekend",40.82,1,"Male","Credit card","Vietnamese","10:39","12/10/2016",20
2909,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:39","12/10/2016",20
2909,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","10:39","12/10/2016",20
2910,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:42","12/10/2016",23
2911,"Cake","morning","weekend",20.24,2,"Male","Credit card","Vietnamese","10:46","12/10/2016",21
2912,"Pastry","morning","weekend",14.94,3,"Male","Cash","Germany","10:48","12/10/2016",19
2912,"Coffee","morning","weekend",19.73,3,"Male","Cash","Germany","10:48","12/10/2016",19
2912,"Brownie","morning","weekend",44.82,1,"Male","Cash","Germany","10:48","12/10/2016",19
2913,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","11:05","12/10/2016",20
2914,"Coffee","morning","weekend",19.73,3,"female","Cash","Germany","11:12","12/10/2016",29
2914,"Tea","morning","weekend",26.05,2,"female","Cash","Germany","11:12","12/10/2016",29
2914,"Scone","morning","weekend",40.83,1,"female","Cash","Germany","11:12","12/10/2016",29
2915,"Coffee","morning","weekend",19.73,3,"female","Online Wallet","American","11:14","12/10/2016",21
2915,"Coffee","morning","weekend",19.73,3,"female","Online Wallet","American","11:14","12/10/2016",21
2916,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","11:15","12/10/2016",27
2916,"Tea","morning","weekend",26.05,2,"Male","Credit card","Vietnamese","11:15","12/10/2016",27
2917,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","11:24","12/10/2016",30
2917,"Scone","morning","weekend",40.83,1,"Male","Credit card","Vietnamese","11:24","12/10/2016",30
2918,"Farm House","morning","weekend",40.82,1,"Male","Credit card","Vietnamese","11:37","12/10/2016",22
2918,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","11:37","12/10/2016",22
2919,"Vegan mincepie","morning","weekend",15.76,3,"Male","Credit card","Vietnamese","11:41","12/10/2016",26
2919,"Cake","morning","weekend",20.24,2,"Male","Credit card","Vietnamese","11:41","12/10/2016",26
2920,"Tea","morning","weekend",26.05,2,"Male","Credit card","Vietnamese","11:41","12/10/2016",27
2920,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","11:41","12/10/2016",27
2921,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","11:43","12/10/2016",16
2922,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","11:50","12/10/2016",20
2923,"Scandinavian","morning","weekend",39.34,2,"female","Online Wallet","American","11:51","12/10/2016",26
2924,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","11:58","12/10/2016",30
2925,"Tea","afternoon","weekend",26.05,2,"Male","Cash","Germany","12:02","12/10/2016",28
2925,"Bread","afternoon","weekend",1.61,4,"Male","Cash","Germany","12:02","12/10/2016",28
2926,"Medialuna","afternoon","weekend",43.23,1,"Male","Cash","Korean","12:03","12/10/2016",22
2926,"Pastry","afternoon","weekend",14.94,3,"Male","Cash","Korean","12:03","12/10/2016",22
2926,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","Korean","12:03","12/10/2016",22
2927,"Truffles","afternoon","weekend",42.66,1,"female","Cash","American","12:13","12/10/2016",26
2927,"Juice","afternoon","weekend",28.3,2,"female","Cash","American","12:13","12/10/2016",26
2928,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","12:14","12/10/2016",23
2928,"Jammie Dodgers","afternoon","weekend",46.64,1,"Male","Credit card","Vietnamese","12:14","12/10/2016",23
2928,"Art Tray","afternoon","weekend",35.66,2,"Male","Credit card","Vietnamese","12:14","12/10/2016",23
2929,"Frittata","afternoon","weekend",33.08,2,"Male","Credit card","Vietnamese","12:15","12/10/2016",23
2930,"Bread","afternoon","weekend",1.61,4,"Male","Cash","American","12:19","12/10/2016",19
2931,"Sandwich","afternoon","weekend",10.13,3,"Male","Cash","Germany","12:21","12/10/2016",18
2931,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","Germany","12:21","12/10/2016",18
2932,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","12:25","12/10/2016",22
2932,"Juice","afternoon","weekend",28.3,2,"Male","Credit card","Vietnamese","12:25","12/10/2016",22
2933,"Tea","afternoon","weekend",26.05,2,"Male","Cash","Germany","13:00","12/10/2016",23
2933,"Sandwich","afternoon","weekend",10.13,3,"Male","Cash","Germany","13:00","12/10/2016",23
2934,"Jam","afternoon","weekend",45.27,1,"Male","Credit card","Vietnamese","13:02","12/10/2016",28
2935,"Scone","afternoon","weekend",40.83,1,"Male","Credit card","Vietnamese","13:02","12/10/2016",30
2936,"Coffee","afternoon","weekend",19.73,3,"female","Cash","American","13:06","12/10/2016",25
2936,"Sandwich","afternoon","weekend",10.13,3,"female","Cash","American","13:06","12/10/2016",25
2937,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:15","12/10/2016",30
2938,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","13:16","12/10/2016",27
2938,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","13:16","12/10/2016",27
2939,"Frittata","afternoon","weekend",33.08,2,"Male","Cash","American","13:21","12/10/2016",16
2939,"Tea","afternoon","weekend",26.05,2,"Male","Cash","American","13:21","12/10/2016",16
2939,"Bread","afternoon","weekend",1.61,4,"Male","Cash","American","13:21","12/10/2016",16
2940,"Scandinavian","afternoon","weekend",39.34,2,"Male","Online Wallet","American","13:23","12/10/2016",21
2941,"Sandwich","afternoon","weekend",10.13,3,"Male","Cash","Germany","13:28","12/10/2016",23
2941,"Art Tray","afternoon","weekend",35.66,2,"Male","Cash","Germany","13:28","12/10/2016",23
2941,"Truffles","afternoon","weekend",42.66,1,"Male","Cash","Germany","13:28","12/10/2016",23
2941,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","Germany","13:28","12/10/2016",23
2942,"Scone","afternoon","weekend",40.83,1,"Male","Credit card","Vietnamese","13:29","12/10/2016",20
2942,"Frittata","afternoon","weekend",33.08,2,"Male","Credit card","Vietnamese","13:29","12/10/2016",20
2942,"Juice","afternoon","weekend",28.3,2,"Male","Credit card","Vietnamese","13:29","12/10/2016",20
2943,"Tea","afternoon","weekend",26.05,2,"female","Online Wallet","Germany","13:39","12/10/2016",21
2944,"Coffee","afternoon","weekend",19.73,3,"Male","Online Wallet","American","13:54","12/10/2016",16
2944,"Mineral water","afternoon","weekend",28.31,2,"Male","Online Wallet","American","13:54","12/10/2016",16
2944,"Frittata","afternoon","weekend",33.08,2,"Male","Online Wallet","American","13:54","12/10/2016",16
2945,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:58","12/10/2016",17
2945,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","13:58","12/10/2016",17
2946,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","14:00","12/10/2016",28
2946,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","14:00","12/10/2016",28
2946,"Brownie","afternoon","weekend",44.82,1,"Male","Credit card","Vietnamese","14:00","12/10/2016",28
2946,"Scone","afternoon","weekend",40.83,1,"Male","Credit card","Vietnamese","14:00","12/10/2016",28
2948,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","American","14:03","12/10/2016",30
2949,"Frittata","afternoon","weekend",33.08,2,"Male","Credit card","Vietnamese","14:30","12/10/2016",27
2949,"Sandwich","afternoon","weekend",10.13,3,"Male","Credit card","Vietnamese","14:30","12/10/2016",27
2949,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","14:30","12/10/2016",27
2950,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","14:37","12/10/2016",22
2951,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","14:44","12/10/2016",21
2951,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","14:44","12/10/2016",21
2952,"Vegan mincepie","afternoon","weekend",15.76,3,"Male","Credit card","Vietnamese","15:04","12/10/2016",20
2952,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","15:04","12/10/2016",20
2952,"Hot chocolate","afternoon","weekend",20.12,2,"Male","Credit card","Vietnamese","15:04","12/10/2016",20
2953,"Juice","afternoon","weekend",28.3,2,"female","Online Wallet","Germany","15:05","12/10/2016",22
2954,"Cake","afternoon","weekend",20.24,2,"Male","Online Wallet","American","15:10","12/10/2016",29
2954,"Tea","afternoon","weekend",26.05,2,"Male","Online Wallet","American","15:10","12/10/2016",29
2955,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","15:18","12/10/2016",30
2956,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","15:33","12/10/2016",17
2956,"Farm House","afternoon","weekend",40.82,1,"Male","Credit card","Vietnamese","15:33","12/10/2016",17
2957,"Coffee","afternoon","weekend",19.73,3,"Male","Online Wallet","American","15:46","12/10/2016",16
2957,"Tea","afternoon","weekend",26.05,2,"Male","Online Wallet","American","15:46","12/10/2016",16
2957,"Bread","afternoon","weekend",1.61,4,"Male","Online Wallet","American","15:46","12/10/2016",16
2957,"Mineral water","afternoon","weekend",28.31,2,"Male","Online Wallet","American","15:46","12/10/2016",16
2957,"Scone","afternoon","weekend",40.83,1,"Male","Online Wallet","American","15:46","12/10/2016",16
2957,"Bread","afternoon","weekend",1.61,4,"Male","Online Wallet","American","15:46","12/10/2016",16
2958,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","15:54","12/10/2016",29
2959,"Bread","afternoon","weekend",1.61,4,"Male","Online Wallet","Korean","16:07","12/10/2016",17
2959,"Hot chocolate","afternoon","weekend",20.12,2,"Male","Online Wallet","Korean","16:07","12/10/2016",17
2959,"Hot chocolate","afternoon","weekend",20.12,2,"Male","Online Wallet","Korean","16:07","12/10/2016",17
2960,"Coke","afternoon","weekend",45.97,1,"female","Cash","American","16:09","12/10/2016",18
2960,"Sandwich","afternoon","weekend",10.13,3,"female","Cash","American","16:09","12/10/2016",18
2961,"Sandwich","afternoon","weekend",10.13,3,"female","Online Wallet","American","16:10","12/10/2016",16
2961,"Mineral water","afternoon","weekend",28.31,2,"female","Online Wallet","American","16:10","12/10/2016",16
2962,"Hot chocolate","afternoon","weekend",20.12,2,"Male","Credit card","Vietnamese","16:12","12/10/2016",19
2962,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","16:12","12/10/2016",19
2962,"Cake","afternoon","weekend",20.24,2,"Male","Credit card","Vietnamese","16:12","12/10/2016",19
2963,"Scandinavian","afternoon","weekend",39.34,2,"Male","Credit card","Vietnamese","16:23","12/10/2016",28
2964,"Frittata","afternoon","weekend",33.08,2,"Male","Credit card","Vietnamese","16:24","12/10/2016",19
2964,"Cake","afternoon","weekend",20.24,2,"Male","Credit card","Vietnamese","16:24","12/10/2016",19
2966,"Cake","afternoon","weekend",20.24,2,"Male","Credit card","Vietnamese","16:30","12/10/2016",25
2967,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","16:40","12/10/2016",24
2967,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","16:40","12/10/2016",24
2968,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","16:44","12/10/2016",17
2968,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","16:44","12/10/2016",17
2968,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","16:44","12/10/2016",17
2969,"Scone","afternoon","weekend",40.83,1,"Male","Credit card","Vietnamese","16:45","12/10/2016",25
2969,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","16:45","12/10/2016",25
2970,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","16:46","12/10/2016",19
2971,"Jam","evening","weekend",45.27,1,"Male","Credit card","Vietnamese","17:12","12/10/2016",18
2972,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","09:08","12/11/2016",27
2973,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","09:11","12/11/2016",29
2973,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","09:11","12/11/2016",29
2974,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","09:14","12/11/2016",27
2974,"Farm House","morning","weekend",40.82,1,"Male","Credit card","Vietnamese","09:14","12/11/2016",27
2975,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","09:16","12/11/2016",23
2976,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","09:24","12/11/2016",22
2976,"Pastry","morning","weekend",14.94,3,"Male","Credit card","Vietnamese","09:24","12/11/2016",22
2977,"Bread","morning","weekend",1.61,4,"Male","Online Wallet","Germany","09:29","12/11/2016",24
2977,"Coffee","morning","weekend",19.73,3,"Male","Online Wallet","Germany","09:29","12/11/2016",24
2978,"Medialuna","morning","weekend",43.23,1,"female","Online Wallet","Germany","09:32","12/11/2016",21
2978,"Coffee","morning","weekend",19.73,3,"female","Online Wallet","Germany","09:32","12/11/2016",21
2979,"Scone","morning","weekend",40.83,1,"Male","Credit card","Vietnamese","09:35","12/11/2016",20
2979,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","09:35","12/11/2016",20
2980,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","09:38","12/11/2016",22
2980,"Coke","morning","weekend",45.97,1,"Male","Credit card","Vietnamese","09:38","12/11/2016",22
2981,"Coffee","morning","weekend",19.73,3,"Male","Online Wallet","American","10:01","12/11/2016",19
2982,"Truffles","morning","weekend",42.66,1,"Male","Online Wallet","American","10:04","12/11/2016",23
2983,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:08","12/11/2016",25
2984,"Mineral water","morning","weekend",28.31,2,"Male","Credit card","Vietnamese","10:16","12/11/2016",24
2985,"Hot chocolate","morning","weekend",20.12,2,"Male","Credit card","Vietnamese","10:55","12/11/2016",20
2985,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","10:55","12/11/2016",20
2985,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:55","12/11/2016",20
2985,"Toast","morning","weekend",31.53,2,"Male","Credit card","Vietnamese","10:55","12/11/2016",20
2985,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","10:55","12/11/2016",20
2985,"Alfajores","morning","weekend",13.64,3,"Male","Credit card","Vietnamese","10:55","12/11/2016",20
2985,"Fudge","morning","weekend",32.91,2,"Male","Credit card","Vietnamese","10:55","12/11/2016",20
2986,"Jam","morning","weekend",45.27,1,"female","Online Wallet","American","10:56","12/11/2016",24
2987,"Medialuna","morning","weekend",43.23,1,"female","Online Wallet","American","11:00","12/11/2016",24
2987,"Bakewell","morning","weekend",3.38,4,"female","Online Wallet","American","11:00","12/11/2016",24
2987,"Coffee","morning","weekend",19.73,3,"female","Online Wallet","American","11:00","12/11/2016",24
2987,"Bread","morning","weekend",1.61,4,"female","Online Wallet","American","11:00","12/11/2016",24
2987,"Toast","morning","weekend",31.53,2,"female","Online Wallet","American","11:00","12/11/2016",24
2988,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","11:11","12/11/2016",27
2989,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","11:13","12/11/2016",28
2990,"Coffee","morning","weekend",19.73,3,"Male","Cash","American","11:29","12/11/2016",27
2990,"Coffee","morning","weekend",19.73,3,"Male","Cash","American","11:29","12/11/2016",27
2990,"Bakewell","morning","weekend",3.38,4,"Male","Cash","American","11:29","12/11/2016",27
2990,"Medialuna","morning","weekend",43.23,1,"Male","Cash","American","11:29","12/11/2016",27
2991,"Coffee","morning","weekend",19.73,3,"Male","Cash","Germany","11:36","12/11/2016",24
2991,"Coffee","morning","weekend",19.73,3,"Male","Cash","Germany","11:36","12/11/2016",24
2991,"Bread","morning","weekend",1.61,4,"Male","Cash","Germany","11:36","12/11/2016",24
2992,"Farm House","morning","weekend",40.82,1,"Male","Credit card","Vietnamese","11:42","12/11/2016",29
2993,"Bread","morning","weekend",1.61,4,"Male","Online Wallet","Korean","11:43","12/11/2016",23
2994,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","11:47","12/11/2016",18
2994,"Scone","morning","weekend",40.83,1,"Male","Credit card","Vietnamese","11:47","12/11/2016",18
2994,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","11:47","12/11/2016",18
2994,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","11:47","12/11/2016",18
2995,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","11:57","12/11/2016",30
2996,"Farm House","afternoon","weekend",40.82,1,"Male","Credit card","Vietnamese","12:00","12/11/2016",30
2996,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","12:00","12/11/2016",30
2996,"Medialuna","afternoon","weekend",43.23,1,"Male","Credit card","Vietnamese","12:00","12/11/2016",30
2996,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","12:00","12/11/2016",30
2997,"Smoothies","afternoon","weekend",24.22,2,"Male","Online Wallet","Korean","12:06","12/11/2016",21
2998,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","American","12:07","12/11/2016",26
3000,"Medialuna","afternoon","weekend",43.23,1,"female","Online Wallet","Germany","12:45","12/11/2016",29
3000,"Coffee","afternoon","weekend",19.73,3,"female","Online Wallet","Germany","12:45","12/11/2016",29
3001,"Mineral water","afternoon","weekend",28.31,2,"Male","Credit card","Vietnamese","12:47","12/11/2016",24
3002,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","12:59","12/11/2016",21
3002,"Mineral water","afternoon","weekend",28.31,2,"Male","Credit card","Vietnamese","12:59","12/11/2016",21
3002,"Hot chocolate","afternoon","weekend",20.12,2,"Male","Credit card","Vietnamese","12:59","12/11/2016",21
3003,"Sandwich","afternoon","weekend",10.13,3,"Male","Cash","Korean","13:02","12/11/2016",24
3003,"Tea","afternoon","weekend",26.05,2,"Male","Cash","Korean","13:02","12/11/2016",24
3004,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","Korean","13:05","12/11/2016",24
3004,"Cookies","afternoon","weekend",5.51,4,"Male","Cash","Korean","13:05","12/11/2016",24
3005,"Alfajores","afternoon","weekend",13.64,3,"Male","Credit card","Vietnamese","13:08","12/11/2016",29
3005,"Alfajores","afternoon","weekend",13.64,3,"Male","Credit card","Vietnamese","13:08","12/11/2016",29
3006,"Vegan mincepie","afternoon","weekend",15.76,3,"Male","Credit card","Vietnamese","13:33","12/11/2016",23
3006,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","13:33","12/11/2016",23
3006,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:33","12/11/2016",23
3007,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:34","12/11/2016",29
3008,"Medialuna","afternoon","weekend",43.23,1,"Male","Credit card","Vietnamese","13:42","12/11/2016",27
3009,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:43","12/11/2016",29
3009,"Frittata","afternoon","weekend",33.08,2,"Male","Credit card","Vietnamese","13:43","12/11/2016",29
3009,"Toast","afternoon","weekend",31.53,2,"Male","Credit card","Vietnamese","13:43","12/11/2016",29
3010,"Coffee","afternoon","weekend",19.73,3,"Male","Online Wallet","Korean","13:51","12/11/2016",26
3010,"Hot chocolate","afternoon","weekend",20.12,2,"Male","Online Wallet","Korean","13:51","12/11/2016",26
3010,"Muffin","afternoon","weekend",7.18,4,"Male","Online Wallet","Korean","13:51","12/11/2016",26
3011,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:54","12/11/2016",23
3011,"Scandinavian","afternoon","weekend",39.34,2,"Male","Credit card","Vietnamese","13:54","12/11/2016",23
3013,"Bakewell","afternoon","weekend",3.38,4,"Male","Online Wallet","Germany","14:21","12/11/2016",23
3013,"Tea","afternoon","weekend",26.05,2,"Male","Online Wallet","Germany","14:21","12/11/2016",23
3015,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","14:29","12/11/2016",28
3017,"Frittata","afternoon","weekend",33.08,2,"Male","Credit card","Vietnamese","14:32","12/11/2016",28
3017,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","14:32","12/11/2016",28
3018,"Scandinavian","afternoon","weekend",39.34,2,"female","Online Wallet","Korean","15:04","12/11/2016",27
3019,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","15:16","12/11/2016",27
3019,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","15:16","12/11/2016",27
3020,"Coffee","afternoon","weekend",19.73,3,"female","Online Wallet","Korean","15:26","12/11/2016",16
3020,"Tea","afternoon","weekend",26.05,2,"female","Online Wallet","Korean","15:26","12/11/2016",16
3021,"Scandinavian","afternoon","weekend",39.34,2,"Male","Credit card","Vietnamese","15:27","12/11/2016",26
3022,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","15:48","12/11/2016",16
3023,"Tea","morning","weekday",26.05,2,"Male","Credit card","Vietnamese","08:51","12/12/2016",20
3024,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","08:52","12/12/2016",16
3025,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","08:54","12/12/2016",17
3025,"Medialuna","morning","weekday",43.23,1,"Male","Credit card","Vietnamese","08:54","12/12/2016",17
3026,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","08:58","12/12/2016",30
3026,"Toast","morning","weekday",31.53,2,"Male","Credit card","Vietnamese","08:58","12/12/2016",30
3026,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","08:58","12/12/2016",30
3027,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","09:02","12/12/2016",20
3027,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","09:02","12/12/2016",20
3028,"Tea","morning","weekday",26.05,2,"female","Online Wallet","Germany","09:13","12/12/2016",30
3029,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","09:28","12/12/2016",17
3029,"Toast","morning","weekday",31.53,2,"Male","Credit card","Vietnamese","09:28","12/12/2016",17
3030,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","10:00","12/12/2016",29
3031,"Jam","morning","weekday",45.27,1,"Male","Credit card","Vietnamese","10:09","12/12/2016",27
3031,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","10:09","12/12/2016",27
3031,"Hot chocolate","morning","weekday",20.12,2,"Male","Credit card","Vietnamese","10:09","12/12/2016",27
3031,"Toast","morning","weekday",31.53,2,"Male","Credit card","Vietnamese","10:09","12/12/2016",27
3032,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","10:16","12/12/2016",26
3032,"Sandwich","morning","weekday",10.13,3,"Male","Credit card","Vietnamese","10:16","12/12/2016",26
3033,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","10:36","12/12/2016",21
3033,"Tea","morning","weekday",26.05,2,"Male","Credit card","Vietnamese","10:36","12/12/2016",21
3033,"Bakewell","morning","weekday",3.38,4,"Male","Credit card","Vietnamese","10:36","12/12/2016",21
3033,"Alfajores","morning","weekday",13.64,3,"Male","Credit card","Vietnamese","10:36","12/12/2016",21
3034,"Bread","morning","weekday",1.61,4,"Male","Online Wallet","American","10:38","12/12/2016",27
3034,"Coffee","morning","weekday",19.73,3,"Male","Online Wallet","American","10:38","12/12/2016",27
3034,"Cake","morning","weekday",20.24,2,"Male","Online Wallet","American","10:38","12/12/2016",27
3035,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","11:14","12/12/2016",19
3036,"Bread","morning","weekday",1.61,4,"Male","Online Wallet","Germany","11:23","12/12/2016",17
3037,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:29","12/12/2016",29
3037,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:29","12/12/2016",29
3037,"Bakewell","morning","weekday",3.38,4,"Male","Credit card","Vietnamese","11:29","12/12/2016",29
3037,"Cake","morning","weekday",20.24,2,"Male","Credit card","Vietnamese","11:29","12/12/2016",29
3038,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","11:30","12/12/2016",19
3039,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:31","12/12/2016",27
3039,"Medialuna","morning","weekday",43.23,1,"Male","Credit card","Vietnamese","11:31","12/12/2016",27
3040,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","11:54","12/12/2016",24
3041,"Bread","morning","weekday",1.61,4,"female","Online Wallet","American","11:57","12/12/2016",26
3041,"Vegan mincepie","morning","weekday",15.76,3,"female","Online Wallet","American","11:57","12/12/2016",26
